Авилов 	 Avilov
Цветаева Марина 	 Tsvetaeva Marina
Цвибак Я. (псевд. -- Андрей Седых) 	 Tsvibak Ja. (psevd. -- Andrej Sedyh)
Чайковский Н. В. 	 Chajkovskij N. V.
Чайковская В. Н. 	 Chajkovskaja V. N.
Чайковский М. 	 Chajkovskij M.
Чернов В. M. 	 Chernov V. M.
Черный Саша (Гликберг А. М.) 	 Chernyj Sasha (Glikberg A. M.)
Чехов А. П. 	 Chehov A. P.
Чехов И. П. 	 Chehov I. P.
Чехов Мих. 	 Chehov Mih.
Чехова М. П. 	 Chehova M. P.
Чириков Е. 	 Chirikov E.
Шаляпин Федор 	 Shaljapin Fedor
Шаляпина М. В. 	 Shaljapina M. V.
Шаляпина Стелла 	 Shaljapina Stella
Шапен м-лле 	 Shapen m-lle
Шассен 	 Shassen
Шаховская З. А., кн. 	 Shahovskaja Z. A., kn.
Шаховской Д. А., кн. (арх. Иоанн Сан-Францисский) 	 Shahovskoj D. A., kn. (arh. Ioann San-Frantsisskij)
Ш-ие 	 Sh-ie
Шекспир 	 Shekspir
Шеллинг 	 Shelling
Шестов Лев 	 Shestov Lev
Шестовы 	 Shestovy
Шиман, д-р 	 Shiman, d-r
Шишкина-Афанасьева 	 Shishkina-Afanas'eva
Шлецер Б. Ф. 	 Shletser B. F.
Шмелев И. С. 	 Shmelev I. S.
Шмелева О. А. 	 Shmeleva O. A.
Шмелевы 	 Shmelevy
Шполянский А. П. (Дон-Аминадо, Аминад) 	 Shpoljanskij A. P. (Don-Aminado, Aminad)
Штерн 	 Shtern
Шульгин В. В. 	 Shul'gin V. V.
Щеголев М. 	 Schegolev M.
Щепкина-Куперник Т. Л. 	 Schepkina-Kupernik T. L.
Щербатов, кн. 	 Scherbatov, kn.
Эмилия Вас. 	 Emilija Vas.
Эренбург Илья 	 Erenburg Il'ja
Эристова, кн. 	 Eristova, kn.
Эртель А. И. 	 Ertel' A. I.
Эррио Э. 	 Errio E.
Юрьев 	 Jur'ev
Юсупов Ф., кн. 	 Jusupov F., kn.
Юшкевич П. 	 Jushkevich P.
Юшкевич С. С. 	 Jushkevich S. S.
Яблоновский А. 	 Jablonovskij A.
Яблоновский С. В. (Потресов) 	 Jablonovskij S. V. (Potresov)
Яблоновские 	 Jablonovskie
Якобсон Е. 	 Jakobson E.
Якунчикова 	 Jakunchikova
